Ra/Rc,Pauling,Mulliken,Delta,Smix,Synthesis Method ,Elements&Content,Crystal Structure
0.45045045,0.016656755,0.189733907,0.054473385,9.12524685,16,6.554800573,0
0.483592401,0.240039059,0.316106548,0.105293826,11.52565132,18,17.76250046,1
0.485268631,0.254263643,0.255164416,0.110876378,11.52565132,16,11.61875943,1
0.483592401,0.240039059,0.316106548,0.105293826,11.52565132,16,17.76250046,1
0.486111111,0.244169511,0.324794243,0.100916796,11.52565132,16,17.66517955,1
0.585774059,0.132356942,0.492396432,0.06713721,11.03806423,14,11.93027725,1
0.349301397,0.046029882,0.194783326,0.047478066,11.52565132,16,16.36248026,0
0.343811395,0.025495098,0.184048279,0.047643178,11.52565132,16,15.0831818,0
0.416171225,0.0813557,0.132297026,0.065939793,11.52565132,5,24.83217791,0
0.416171225,0.0813557,0.132297026,0.065939793,11.52565132,24,24.83217791,0
0.5907173,0.132098448,0.234029888,0.035125251,11.52565132,4,10.36980139,2
0.60475162,0.140956554,0.28174728,0.035688883,11.52565132,4,15.48699522,2
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,4,-7.870928178,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,1,-6.254520599,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,18,-7.30525008,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,7,-13.40430082,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,16,-7.30525008,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,20,-7.361195127,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,4,-7.30525008,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,3,-13.40430082,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,25,-13.40430082,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,27,-7.30525008,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,16,-7.30525008,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,23,-13.40430082,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,4,-7.30525008,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,1,15.41893185,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,4,-7.30525008,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,4,-13.40430082,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,11,-7.870928178,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,21,-6.254520599,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,19,-6.254520599,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,23,-13.40430082,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,23,-13.40430082,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,1,15.41893185,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,18,-7.30525008,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,28,-6.254520599,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,27,-7.30525008,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,0,-13.40430082,1
0.386206897,0.230911238,0.292198644,0.099553616,13.3808668,27,-9.26373261,1
